id;default_value;jhi_values;value_form;value_to;range_interval
1;knowledge base Mexico;Accountability workforce;back up;Forward solid state Sleek;Buckinghamshire Metal
2;Frozen Guyana Dollar SMS;one-to-one cross-platform;XSS multi-byte;Nebraska Maine;Shoes
3;Cheese;Internal;Alley Games;Cotton secondary;Delaware
4;Adaptive Rhode Island panel;maroon West Virginia Data;web-readiness e-markets;bypassing;Licensed Frozen Gloves bluetooth Licensed Frozen Sausages
5;Washington Communications;Small Frozen Salad turn-key SMS;Bedfordshire;Shoes parsing SSL;New Israeli Sheqel Mississippi synergize
6;JSON Multi-layered extensible;connecting cross-platform;withdrawal;Personal Loan Account TCP synthesizing;Ergonomic withdrawal Money Market Account
7;Handcrafted;Human hack;open-source Gorgeous;West Virginia transmitting;Colorado disintermediate JBOD
8;Somali Shilling bi-directional;Gorgeous;online;motivating pink Ergonomic;cyan
9;synthesize;website;Investment Account Intuitive;deliver Mouse;Table
10;hack optical synthesize;multi-byte capacitor;Health;projection Steel pink;1080p salmon
